time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,surface_pressure,cloud_cover,wind_speed_10m,wind_gusts_10m,et0_fao_evapotranspiration,city,latitude,longitude,precip_mm,rain_mm,wildfire_label,flood_label
2026-01-21 18:30:00+00:00,11.107,18.0,-12.362134,6.4934607,0.0,0.0,0.0,810.3768,0.0,8.161764,16.56,0.06362616,Nainital,29.3806,79.4636,0.0,0.0,0,0
2026-01-21 19:30:00+00:00,11.057,13.0,-16.374825,6.1764717,0.0,0.0,0.0,810.345,0.0,8.404285,16.56,0.070658855,Nainital,29.3806,79.4636,0.0,0.0,0,0
2026-01-21 20:30:00+00:00,11.107,11.0,-18.321814,5.98816,0.0,0.0,0.0,809.97864,0.0,9.422101,18.359999,0.08111177,Nainital,29.3806,79.4636,0.0,0.0,0,0
2026-01-21 21:30:00+00:00,11.107,10.0,-19.439816,6.054102,0.0,0.0,0.0,809.58057,0.0,8.654987,18.359999,0.07602664,Nainital,29.3806,79.4636,0.0,0.0,0,0
2026-01-21 22:30:00+00:00,10.857,10.0,-19.633352,5.3446226,0.0,0.0,0.0,809.0236,0.0,11.753876,22.319998,0.09912184,Nainital,29.3806,79.4636,0.0,0.0,0,0
2026-01-21 23:30:00+00:00,11.457,9.0,-20.394915,6.2115784,0.0,0.0,0.0,809.3247,0.0,9.726664,23.039999,0.08684921,Nainital,29.3806,79.4636,0.0,0.0,0,0
2026-01-22 00:30:00+00:00,10.957,9.0,-20.777687,5.777772,0.0,0.0,0.0,809.3259,0.0,9.178235,18.72,0.08101305,Nainital,29.3806,79.4636,0.0,0.0,0,0
2026-01-22 01:30:00+00:00,11.107,10.0,-19.439816,5.7901716,0.0,0.0,0.0,809.8194,0.0,10.464797,20.16,0.10114222,Nainital,29.3806,79.4636,0.0,0.0,0,0
2026-01-22 02:30:00+00:00,12.857,17.0,-11.638056,8.441058,0.0,0.0,0.0,810.92535,0.0,7.145796,20.16,0.10123367,Nainital,29.3806,79.4636,0.0,0.0,0,0
2026-01-22 03:30:00+00:00,15.856999,16.0,-9.959074,12.490616,0.0,0.0,0.0,813.1139,0.0,0.8049845,13.32,0.17505758,Nainital,29.3806,79.4636,0.0,0.0,0,0
