time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,surface_pressure,cloud_cover,wind_speed_10m,wind_gusts_10m,et0_fao_evapotranspiration,city,latitude,longitude,precip_mm,rain_mm,wildfire_label,flood_label
2026-01-21 18:30:00+00:00,19.365,52.0,9.25832,18.866499,0.0,0.0,0.0,948.10657,36.0,2.0991426,3.2399998,0.0,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-21 19:30:00+00:00,19.015001,49.0,8.057041,18.154007,0.0,0.0,0.0,947.7495,18.0,2.4149535,3.2399998,0.0037891928,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-21 20:30:00+00:00,18.515001,50.0,7.8945727,17.516687,0.0,0.0,0.0,947.35974,0.0,3.0758414,4.32,0.008658467,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-21 21:30:00+00:00,17.415,56.0,8.545416,16.445675,0.0,0.0,0.0,946.74365,0.0,4.0249224,6.12,0.011305978,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-21 22:30:00+00:00,15.865,68.0,9.967418,15.313379,0.0,0.0,0.0,946.77246,0.0,3.8268526,6.8399997,0.0012368563,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-21 23:30:00+00:00,15.214999,74.0,10.610362,14.840385,0.0,0.0,0.0,947.3735,0.0,3.8939953,6.8399997,0.0,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-22 00:30:00+00:00,14.964999,76.0,10.769615,14.637772,0.0,0.0,0.0,948.064,0.0,3.8939953,6.4799995,0.0,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-22 01:30:00+00:00,15.214999,74.0,10.610362,14.924234,0.0,0.0,0.0,948.9603,0.0,3.319036,6.4799995,0.017249849,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-22 02:30:00+00:00,18.265001,66.0,11.805413,18.282969,0.0,0.0,0.0,950.3874,0.0,3.7064266,7.92,0.10689081,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-22 03:30:00+00:00,22.115,46.0,9.954227,20.432146,0.0,0.0,0.0,951.69434,0.0,11.542478,22.68,0.3078096,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-22 04:30:00+00:00,25.215,31.0,6.8844905,22.216415,0.0,0.0,0.0,951.70026,0.0,18.64369,35.64,0.51011556,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-22 05:30:00+00:00,26.965,25.0,5.2674747,23.924639,0.0,0.0,0.0,951.22504,0.0,21.485697,41.039997,0.64863795,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-22 06:30:00+00:00,28.165,25.0,6.282001,25.95842,0.0,0.0,0.0,950.4443,0.0,20.316889,41.399998,0.7135576,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-22 07:30:00+00:00,29.065,24.0,6.447826,27.385693,0.0,0.0,0.0,949.31866,0.0,17.731598,39.239998,0.7247621,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-22 08:30:00+00:00,29.665,23.0,6.3327436,27.974926,0.0,0.0,0.0,948.1305,0.0,15.546833,34.2,0.6796571,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-22 09:30:00+00:00,29.765001,22.0,5.7722683,27.604122,0.0,0.0,0.0,947.30804,0.0,13.084402,30.239998,0.5765772,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-22 10:30:00+00:00,29.265001,23.0,5.9982214,26.50747,0.0,0.0,0.0,946.925,0.0,12.015589,25.919998,0.4337808,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-22 11:30:00+00:00,28.165,25.0,6.282001,25.746088,0.0,0.0,0.0,946.9803,0.0,10.1376915,23.039999,0.25865996,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-22 12:30:00+00:00,25.215,31.0,6.8844905,23.651577,0.0,0.0,0.0,947.3029,0.0,5.2416787,18.72,0.07427847,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-22 13:30:00+00:00,22.665,37.0,7.2302837,21.281637,0.0,0.0,0.0,947.9786,0.0,4.5820518,9.0,0.035454623,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-22 14:30:00+00:00,20.915,41.0,7.16844,19.587025,0.0,0.0,0.0,948.6305,0.0,4.1046314,7.92,0.025635405,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-22 15:30:00+00:00,19.715,45.0,7.4460654,18.578072,0.0,0.0,0.0,948.83704,0.0,3.2599385,7.2,0.013938989,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-22 16:30:00+00:00,19.215,46.0,7.312808,18.069504,0.0,0.0,0.0,949.1015,0.0,3.096837,5.04,0.011570117,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-22 17:30:00+00:00,18.265001,50.0,7.664453,17.257967,0.0,0.0,0.0,948.9862,0.0,2.7416782,4.32,0.005792164,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-22 18:30:00+00:00,17.915,49.0,7.0469346,16.922611,0.0,0.0,0.0,949.0022,0.0,1.609969,3.2399998,0.0,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-22 19:30:00+00:00,17.215,51.0,6.9864173,16.06092,0.0,0.0,0.0,948.56696,0.0,2.6208394,3.6,0.003919259,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-22 20:30:00+00:00,16.215,54.0,6.894104,14.855968,0.0,0.0,0.0,948.0644,0.0,3.8773184,5.3999996,0.011057696,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-22 21:30:00+00:00,14.565,62.0,7.3663177,13.317375,0.0,0.0,0.0,947.6937,0.0,3.8939953,6.4799995,0.005062111,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-22 22:30:00+00:00,14.264999,68.0,8.439261,13.33062,0.0,0.0,0.0,947.8127,0.0,3.6,6.4799995,0.0,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-22 23:30:00+00:00,14.565,70.0,9.1554985,13.900452,0.0,0.0,0.0,948.067,0.0,3.0547013,6.12,0.0,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-23 00:30:00+00:00,14.865,68.0,9.012372,14.1376095,0.0,0.0,0.0,948.60144,0.0,3.219938,5.04,0.0,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-23 01:30:00+00:00,14.665,70.0,9.251341,13.906561,0.0,0.0,0.0,949.3963,0.0,3.8773184,6.12,0.021749543,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-23 02:30:00+00:00,17.765001,66.0,11.329805,17.726337,0.0,0.0,0.0,951.0239,0.0,3.0758414,6.8399997,0.103713736,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-23 03:30:00+00:00,21.715,49.0,10.534888,20.462273,0.0,0.0,0.0,952.4492,0.0,9.746631,19.08,0.29559606,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-23 04:30:00+00:00,24.865,36.0,8.774927,22.882786,0.0,0.0,0.0,952.65533,0.0,15.226764,29.519999,0.4849176,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-23 05:30:00+00:00,27.165,26.0,6.0032053,24.795113,0.0,0.0,0.0,952.1092,0.0,18.486622,36.0,0.6392777,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-23 06:30:00+00:00,28.465,24.0,5.9433284,26.661943,0.0,0.0,0.0,951.0681,0.0,17.698677,36.36,0.7135604,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-23 07:30:00+00:00,29.415,23.0,6.123677,28.164444,0.0,0.0,0.0,949.85864,0.0,15.124284,34.2,0.72513425,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-23 08:30:00+00:00,29.915,22.0,5.897037,28.575424,0.0,0.0,0.0,948.8372,0.0,13.202726,29.519999,0.67640936,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-23 09:30:00+00:00,29.815,21.0,5.1431265,27.805412,0.0,0.0,0.0,948.2548,0.0,11.631956,25.56,0.57279545,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-23 10:30:00+00:00,29.165,22.0,5.273069,26.34064,0.0,0.0,0.0,948.02826,0.0,11.384198,23.039999,0.43263364,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-23 11:30:00+00:00,27.865,24.0,5.438649,25.130135,0.0,0.0,0.0,948.2293,0.0,11.019764,22.319998,0.2699145,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-23 12:30:00+00:00,24.665,31.0,6.407025,22.826044,0.0,0.0,0.0,948.3098,0.0,6.3690495,20.519999,0.0864587,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-23 13:30:00+00:00,21.965,39.0,7.3774557,20.601362,0.0,0.0,0.0,948.9507,0.0,4.6938257,11.5199995,0.0341416,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-23 14:30:00+00:00,20.315,44.0,7.6611195,19.091805,0.0,0.0,0.0,949.62195,0.0,4.2136917,7.92,0.023814293,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-23 15:30:00+00:00,19.265001,48.0,7.982879,18.253271,0.0,0.0,0.0,950.0467,0.0,3.319036,6.8399997,0.012305997,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-23 16:30:00+00:00,18.715,48.0,7.4791255,17.51379,0.0,0.0,0.0,950.113,0.0,3.7585104,5.3999996,0.015722241,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-23 17:30:00+00:00,17.065,52.0,7.1313634,15.810795,0.0,0.0,0.0,949.6545,0.0,3.5455887,6.12,0.010427507,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-23 18:30:00+00:00,16.115,54.0,6.801164,14.801407,0.0,0.0,0.0,949.4426,0.0,3.4152596,5.7599998,0.0077803796,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-23 19:30:00+00:00,15.615,55.0,6.6031003,14.3331585,0.0,0.0,0.0,949.1435,0.0,2.8799999,5.04,0.0032639017,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-23 20:30:00+00:00,15.264999,55.0,6.277049,13.956804,0.0,0.0,0.0,948.87823,0.0,2.5455842,4.32,0.00082522875,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-23 21:30:00+00:00,15.214999,54.0,5.964587,13.825172,0.0,0.0,0.0,948.7737,0.0,2.6208394,3.96,0.00183761,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-23 22:30:00+00:00,14.714999,57.0,6.2818694,13.231104,0.0,0.0,0.0,948.94116,0.0,3.7585104,5.3999996,0.0075796605,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-23 23:30:00+00:00,13.964999,65.0,7.4898076,12.845995,0.0,0.0,0.0,949.3311,0.0,3.219938,5.7599998,0.0,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-24 00:30:00+00:00,14.115,71.0,8.93425,13.311331,0.0,0.0,0.0,950.11176,0.0,3.6,5.7599998,0.0,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-24 01:30:00+00:00,14.165,76.0,9.995382,13.779955,0.0,0.0,0.0,950.96277,0.0,2.7416782,6.12,0.013986119,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
2026-01-24 02:30:00+00:00,17.465,71.0,12.149785,17.710833,0.0,0.0,0.0,952.6386,0.0,2.9024127,6.4799995,0.10084164,Shivamogga,13.9299,75.5681,0.0,0.0,0,0
