time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,surface_pressure,cloud_cover,wind_speed_10m,wind_gusts_10m,et0_fao_evapotranspiration,city,latitude,longitude,precip_mm,rain_mm,wildfire_label,flood_label
2026-01-21 18:30:00+00:00,13.35,82.0,10.3403225,12.823488,0.0,0.0,0.0,1007.4316,0.0,4.39436,7.2,0.0,Varanasi,25.3176,82.9739,0.0,0.0,0,0
2026-01-21 19:30:00+00:00,12.85,83.0,10.033083,12.217909,0.0,0.0,0.0,1007.2164,0.0,4.510787,7.2,0.0,Varanasi,25.3176,82.9739,0.0,0.0,0,0
2026-01-21 20:30:00+00:00,12.35,85.0,9.899148,11.679806,0.0,0.0,0.0,1007.0015,0.0,4.510787,7.92,0.0,Varanasi,25.3176,82.9739,0.0,0.0,0,0
2026-01-21 21:30:00+00:00,12.05,85.0,9.604876,11.356288,0.0,0.0,0.0,1006.2978,0.0,4.1046314,7.5599995,0.0,Varanasi,25.3176,82.9739,0.0,0.0,0,0
2026-01-21 22:30:00+00:00,11.65,85.0,9.212501,10.881316,0.0,0.0,0.0,1006.18524,0.0,3.8773184,6.4799995,0.0,Varanasi,25.3176,82.9739,0.0,0.0,0,0
2026-01-21 23:30:00+00:00,11.25,85.0,8.820115,10.413498,0.0,0.0,0.0,1006.5675,0.0,3.6179552,6.12,0.0,Varanasi,25.3176,82.9739,0.0,0.0,0,0
2026-01-22 00:30:00+00:00,10.9,86.0,8.649614,10.07057,0.0,0.0,0.0,1007.24866,0.0,3.2599385,5.3999996,0.0,Varanasi,25.3176,82.9739,0.0,0.0,0,0
2026-01-22 01:30:00+00:00,11.2,85.0,8.771066,10.429523,0.0,0.0,0.0,1007.9524,0.0,3.0758414,4.68,0.01004187,Varanasi,25.3176,82.9739,0.0,0.0,0,0
2026-01-22 02:30:00+00:00,13.7,85.0,11.223295,13.746134,0.0,0.0,0.0,1008.73114,0.0,2.2768397,4.68,0.091510564,Varanasi,25.3176,82.9739,0.0,0.0,0,0
2026-01-22 03:30:00+00:00,17.5,75.0,13.019555,18.07913,0.0,0.0,0.0,1009.4523,0.0,2.5959969,7.92,0.22513273,Varanasi,25.3176,82.9739,0.0,0.0,0,0
