time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,surface_pressure,cloud_cover,wind_speed_10m,wind_gusts_10m,et0_fao_evapotranspiration,city,latitude,longitude,precip_mm,rain_mm,wildfire_label,flood_label
2026-01-21 18:30:00+00:00,18.411001,76.0,14.103735,19.381401,0.0,0.0,0.0,1010.5546,30.0,2.52,4.32,0.0,Visakhapatnam,17.6868,83.2185,0.0,0.0,0,0
2026-01-21 19:30:00+00:00,17.561,78.0,13.680494,18.38038,0.0,0.0,0.0,1010.3419,36.0,2.52,5.3999996,0.0,Visakhapatnam,17.6868,83.2185,0.0,0.0,0,0
2026-01-21 20:30:00+00:00,17.011,78.0,13.146732,17.641088,0.0,0.0,0.0,1009.9346,31.0,2.5455842,5.7599998,0.0,Visakhapatnam,17.6868,83.2185,0.0,0.0,0,0
2026-01-21 21:30:00+00:00,16.511,78.0,12.661468,16.96626,0.0,0.0,0.0,1009.5283,8.0,2.6208394,5.7599998,0.0,Visakhapatnam,17.6868,83.2185,0.0,0.0,0,0
2026-01-21 22:30:00+00:00,16.061,77.0,12.028577,16.29164,0.0,0.0,0.0,1009.62054,0.0,2.7416782,5.7599998,0.0,Visakhapatnam,17.6868,83.2185,0.0,0.0,0,0
2026-01-21 23:30:00+00:00,15.661,76.0,11.443134,15.706785,0.0,0.0,0.0,1010.1115,0.0,2.7416782,5.7599998,0.0,Visakhapatnam,17.6868,83.2185,0.0,0.0,0,0
2026-01-22 00:30:00+00:00,15.311001,75.0,10.90489,15.209919,0.0,0.0,0.0,1011.0016,0.0,2.6208394,6.12,0.0,Visakhapatnam,17.6868,83.2185,0.0,0.0,0,0
2026-01-22 01:30:00+00:00,16.061,72.0,11.012911,15.992348,0.0,0.0,0.0,1011.8101,0.0,2.6208394,6.12,0.024240647,Visakhapatnam,17.6868,83.2185,0.0,0.0,0,0
2026-01-22 02:30:00+00:00,21.111,60.0,13.0442095,21.792707,0.0,0.0,0.0,1012.68835,0.0,1.9386592,6.4799995,0.15230228,Visakhapatnam,17.6868,83.2185,0.0,0.0,0,0
2026-01-22 03:30:00+00:00,25.061,44.0,11.958275,25.216,0.0,0.0,0.0,1013.4474,0.0,3.0758414,9.72,0.31764477,Visakhapatnam,17.6868,83.2185,0.0,0.0,0,0
